name_en	name	country	lat	lon
Shanghai	上海市	People's Republic of China	31.166666666667	121.46666666667
Beijing	北京市	People's Republic of China	39.905	116.39138888889
Tokyo	東京都	Japan	35.68	139.77
Tianjin	天津市	People's Republic of China	39.146666666667	117.20555555556
Guangzhou	广州市	People's Republic of China	23.128795	113.258976
Mumbai	Мумбаи	India	19.07283	72.88261
São Paulo	São Paulo	Brazil	-23.550394444444	-46.633947222222
Nanyang	南阳市	People's Republic of China	32.99871	112.52921
Shenzhen	深圳市	People's Republic of China	22.535	114.054
Wuhan	武汉市	People's Republic of China	30.58333	114.26667
Chengdu	成都市	People's Republic of China	30.66667	104.06667
Linyi	临沂市	People's Republic of China	35.060555555556	118.3425
Shijiazhuang	石家庄市	People's Republic of China	38.042222222222	114.50861111111
Baoding	保定市	People's Republic of China	38.86712	115.48452
Lahore	لاہور	Pakistan	31.549722222222	74.343611111111
Chennai	Ченнаи	India	13.09	80.27
Zhoukou	周口市	People's Republic of China	33.62502	114.6418
Seoul	서울특별시	South Korea	37.583333333333	127.0
Jakarta	Jakarta	Indonesia	-6.21462	106.84513
Hangzhou	杭州市	People's Republic of China	30.274097	120.155067
Tehran	تهران	Iran	35.7	51.416666666667
London	London	United Kingdom	51.507222222222	-0.1275
Heze	菏泽市	People's Republic of China	35.233333333333	115.43333333333
Xuzhou	徐州市	People's Republic of China	34.26104	117.18587
New York City	New York	United States of America	40.67	-73.94
Weifang	潍坊市	People's Republic of China	36.71	119.10194
Handan	邯郸市	People's Republic of China	36.60056	114.46778
Fuyang	阜阳市	People's Republic of China	32.89856	115.80447
Dongguan	东莞市	People's Republic of China	23.01797	113.74866
Ganzhou	赣州市	People's Republic of China	25.829166666667	114.93361111111
Jining	济宁市	People's Republic of China	35.4	116.56666666667
Chongqing	重庆市	People's Republic of China	29.55	106.50694444444
Shenyang	沈阳市	People's Republic of China	41.803888888889	123.42583333333
Hanoi	Hà Nội	Vietnam	21.0245	105.84117
Changchun	长春市	People's Republic of China	43.9	125.2
Zhumadian	驻马店市	People's Republic of China	32.97729	114.02528
Ningbo	宁波市	People's Republic of China	29.87819	121.54945
Hefei	合肥市	People's Republic of China	31.863611111111	117.27944444444
Hong Kong	Hong Kong Special Administrative Region of the People's Republic of China	People's Republic of China	22.278333333333	114.15861111111
Nantong	南通市	People's Republic of China	31.98288	120.8873
Hengyang	衡阳市	People's Republic of China	26.89676	112.58568
Yancheng	盐城市	People's Republic of China	33.3575	120.1573
Luanda	Luanda	Angola	-8.8333333333333	13.233333333333
Foshan	佛山市	People's Republic of China	23.02677	113.13148
Tangshan	唐山市	People's Republic of China	39.629166666667	118.17416666667
Shaoyang	邵阳市	People's Republic of China	27.24176	111.47247
Changsha	长沙市	People's Republic of China	28.19874	112.97087
Zhengzhou	郑州市	People's Republic of China	34.75778	113.64861
Shangqiu	商丘市	People's Republic of China	34.42592	115.64673
Baghdad	بغداد	Iraq	33.35	44.416666666667
Bijie	毕节市	People's Republic of China	27.30947	105.28092
Zhanjiang	湛江市	People's Republic of China	21.196667	110.403056
Nanning	南宁市	People's Republic of China	22.81918	108.31501
Cangzhou	沧州市	People's Republic of China	38.30369	116.84519
Maoming	茂名市	People's Republic of China	21.66182	110.91783
Huanggang	黄冈市	People's Republic of China	30.45246	114.87991
Xinyang	信阳市	People's Republic of China	32.12641	114.06722
Luoyang	洛阳市	People's Republic of China	34.65867	112.42447
Yantai	烟台市	People's Republic of China	37.399722	121.266389
Quanzhou	泉州市	People's Republic of China	24.91389	118.58583
Rio de Janeiro	Rio de Janeiro	Brazil	-22.908333333333	-43.196388888889
Shangrao	上饶市	People's Republic of China	28.45179	117.94287
Nanjing	南京市	People's Republic of China	32.05	118.76666666667
Kunming	昆明市	People's Republic of China	25.043333333333	102.70611111111
Nanchong	南充市	People's Republic of China	30.79508	106.08473
Zunyi	遵义市	People's Republic of China	27.68667	106.90722
Lu'an	六安市	People's Republic of China	31.75694	116.49139
Liaocheng	聊城市	People's Republic of China	36.45596	115.97766
Singapore	Republic of Singapore	Singapore	1.3	103.8
Suzhou	苏州市	People's Republic of China	31.30401	120.61642
Xiangyang	Сянфань	People's Republic of China	32.0422	112.14479
Jingzhou	荆州市	People's Republic of China	30.324444444444	112.23611111111
Qingdao	青岛市	People's Republic of China	36.116666666667	120.4
Xi'an	西安市	People's Republic of China	34.25833	108.92861
Taizhou	台州市	People's Republic of China	28.6583	121.42213
Qujing	曲靖市	People's Republic of China	25.51018	103.80287
Changde	常德市	People's Republic of China	29.03966	111.6839
Bangkok	กรุงเทพมหานคร อมรรัตนโกสินทร์ มหินทรายุธยา มหาดิลกภพ นพรัตนราชธานีบูรีรมย์ อุดมราชนิเวศน์มหาสถาน อมรพิมานอวตารสถิต สักกะทัตติยวิษณุกรรมประสิทธิ์	Thailand	13.75	100.51666666667
Dazhou	达州市	People's Republic of China	31.21592	107.50092
Jieyang	揭阳市	People's Republic of China	23.5418	116.36581
Yulin	玉林市	People's Republic of China	22.63333	110.15
Anqing	安庆市	People's Republic of China	30.51365	117.04723
Xinxiang	新乡市	People's Republic of China	35.29917	113.88515
Tai'an	泰安市	People's Republic of China	36.1881	117.12697
Dezhou	德州市	People's Republic of China	37.433056	116.266389
Yangon	ရန်ကုန်	Myanmar	16.8	96.15
Suihua	绥化市	People's Republic of China	46.63954	126.99508
Yichun	宜春市	People's Republic of China	27.80412	114.38303
Shantou	汕头市	People's Republic of China	23.373472	116.694111
Qiqihar	齐齐哈尔市	People's Republic of China	47.34088	123.96045
Khartoum	الخرطوم	Sudan	15.60308	32.52654
Weinan	渭南市	People's Republic of China	34.49962	109.46838
Suqian	宿迁市	People's Republic of China	33.933056	118.283056
Zhaotong	昭通市	People's Republic of China	27.33284	103.71445
Pudong	浦东新区	People's Republic of China	31.223055555556	121.53972222222
Yueyang	岳阳市	People's Republic of China	29.36472	113.1309
Yongzhou	永州市	People's Republic of China	26.4515	111.59527
Bozhou	亳州市	People's Republic of China	33.87722	115.77028
Guilin	桂林市	People's Republic of China	25.266666666667	110.28333333333
Nanchang	南昌市	People's Republic of China	28.684167	115.887222
Xianyang	咸阳市	People's Republic of China	34.33778	108.70261
Harbin	哈尔滨市	People's Republic of China	45.75	126.63333333333
Meizhou	梅州市	People's Republic of China	24.28859	116.11768
Abidjan	Abidjan	Ivory Coast	5.3363888888889	-4.0266666666667
Mianyang	绵阳市	People's Republic of China	31.46688	104.73847
Shaoxing	绍兴市	People's Republic of China	30.0	120.58333333333
Yuncheng	运城市	People's Republic of China	35.02306	110.99278
Sydney	Sydney	Australia	-33.866666666667	151.2
Pingdingshan	平顶山市	People's Republic of China	33.73847	113.30119
Huai'an	淮安市	People's Republic of China	33.5	119.133056
Lianyungang	连云港市	People's Republic of China	34.59057	119.1801
Ji'an	吉安市	People's Republic of China	27.11716	114.97927
Jiujiang	九江市	People's Republic of China	29.70475	116.00206
Kaifeng	开封市	People's Republic of China	34.79357	114.34034
Xiaogan	孝感市	People's Republic of China	30.92731	113.91096
Jinhua	金华市	People's Republic of China	29.10462	119.64937
Wuxi	无锡市	People's Republic of China	31.566667	120.283333
Huaihua	怀化市	People's Republic of China	27.56337	110.00404
Zibo	淄博市	People's Republic of China	36.79056	118.06333
Melbourne	Melbourne	Australia	-37.820555555556	144.96138888889
Jilin City	吉林市	People's Republic of China	43.8461	126.56157
Dalian	大连市	People's Republic of China	38.913055555556	121.61
Yangzhou	扬州市	People's Republic of China	32.39117	119.43625
Yibin	宜宾市	People's Republic of China	28.76667	104.62383
Jiangmen	江门市	People's Republic of China	22.58908	113.07224
Johannesburg	Johannesburg	South Africa	-26.204361111111	28.041638888889
Chenzhou	郴州市	People's Republic of China	25.79893	113.02667
Chifeng	赤峰市	People's Republic of China	42.26626	118.92234
Gui​yang	贵阳市	People's Republic of China	26.58333	106.71667
Langfang	廊坊市	People's Republic of China	39.51962	116.70056
Zhangjiakou	张家口市	People's Republic of China	40.81078	114.88114
Linfen	临汾市	People's Republic of China	36.08121	111.50865
Wenzhou	温州市	People's Republic of China	27.99942	120.66682
Luzhou	泸州市	People's Republic of China	28.8903	105.42575
Xuchang	许昌市	People's Republic of China	34.02444	113.82014
Neijiang	内江市	People's Republic of China	29.58354	105.06216
Guigang	贵港市	People's Republic of China	23.09639	109.60917
Ziyang	资阳市	People's Republic of China	30.12562	104.63974
Yiyang	益阳市	People's Republic of China	28.583333333333	112.33333333333
Hengshui	衡水市	People's Republic of China	37.73484	115.68599
Yichang	宜昌市	People's Republic of China	30.708333	111.280278
Chuzhou	滁州市	People's Republic of China	32.30621	118.31148
Los Angeles	City of Los Angeles	United States of America	34.05	-118.25
Zhaoqing	肇庆市	People's Republic of China	23.05	112.45
Loudi	娄底市	People's Republic of China	27.73776	111.99742
Huizhou	惠州市	People's Republic of China	23.11147	114.41523
Baise	百色市	People's Republic of China	23.90103	106.61943
Fuzhou	抚州市	People's Republic of China	27.95999	116.33333
Wuhu	芜湖市	People's Republic of China	31.33728	118.37351
Hechi	河池市	People's Republic of China	24.692777777778	108.085
Binzhou	滨州市	People's Republic of China	37.36667	118.01667
Zhangzhou	漳州市	People's Republic of China	24.50932	117.66117
Baoji	宝鸡市	People's Republic of China	34.36094	107.17507
Yokohama	横浜市	Japan	35.433333333333	139.63333333333
Guang'an	广安市	People's Republic of China	30.46729	106.63358
Hanzhong	汉中市	People's Republic of China	33.07507	107.02214
Zhuzhou	株洲市	People's Republic of China	27.83333	113.15
Tongren	铜仁市	People's Republic of China	27.72334	109.18851
Qingyuan	清远市	People's Republic of China	23.7	113.03333
Zaozhuang	枣庄市	People's Republic of China	34.866666666667	117.55
Deyang	德阳市	People's Republic of China	31.13019	104.38198
Liuzhou	柳州市	People's Republic of China	24.31814	109.40693
Lanzhou	兰州市	People's Republic of China	36.06171	103.83177
Berlin	Berlin	Germany	52.516666666667	13.383333333333
Chengde	承德市	People's Republic of China	40.973888888889	117.93222222222
Anshan	鞍山市	People's Republic of China	41.10662	122.98945
Puyang	濮阳市	People's Republic of China	35.76392	115.02996
Changzhou	常州市	People's Republic of China	31.77359	119.95401
Suining	遂宁市	People's Republic of China	30.50802	105.57332
Jiaozuo	焦作市	People's Republic of China	35.22904	113.2304
Xiamen	厦门市	People's Republic of China	24.5	118.12
Bengbu	蚌埠市	People's Republic of China	32.94083	117.36083
Lüliang	吕梁市	People's Republic of China	37.52028	111.13545
Tianshui	天水市	People's Republic of China	34.58093	105.73115
Taiyuan	太原市	People's Republic of China	37.86944	112.56028
Chaoyang	朝阳市	People's Republic of China	41.57567	120.44856
Leshan	乐山市	People's Republic of China	29.5854	103.75755
Jiaxing	嘉兴市	People's Republic of China	30.76613	120.75284
Heyuan	河源市	People's Republic of China	23.75033	114.69229
Siping	四平市	People's Republic of China	43.17154	124.36438
Jinan	济南市	People's Republic of China	36.666666666667	116.98333333333
Changzhi	长治市	People's Republic of China	36.19529	113.09695
Shiyan	十堰市	People's Republic of China	32.63507	110.7755
Faisalabad	Фейсалабад	Pakistan	31.418	73.079
Qinzhou	钦州市	People's Republic of China	21.97296	108.62612
Putian	莆田市	People's Republic of China	25.439444	119.010278
Datong	大同市	People's Republic of China	40.09079	113.28883
Shaoguan	韶关市	People's Republic of China	24.80113	113.59271
Bazhong	巴中市	People's Republic of China	31.85764	106.75586
Zhongshan	中山市	People's Republic of China	22.533333333333	113.35
Zhenjiang	镇江市	People's Republic of China	32.21086	119.45508
Ürümqi	乌鲁木齐	People's Republic of China	43.825	87.6
Wuzhou	梧州市	People's Republic of China	23.483333	111.316667
Tongliao	通辽市	People's Republic of China	43.6125	122.26528
Guangyuan	广元市	People's Republic of China	32.43529	105.83985
Jinzhong	晋中市	People's Republic of China	37.69332	112.74164
Ningde	宁德市	People's Republic of China	26.666666666667	119.51666666667
Meishan	眉山市	People's Republic of China	30.05746	103.83806
Jinzhou	锦州市	People's Republic of China	41.10778	121.14167
Tieling	铁岭市	People's Republic of China	42.28407	123.83654
Shanwei	汕尾市	People's Republic of China	22.766389	115.333056
Sana'a	صنعاء	Yemen	15.35	44.2
Liupanshui	六盘水市	People's Republic of China	26.594444	104.833333
Xinzhou	忻州市	People's Republic of China	38.40917	112.73333
Dingxi	定西市	People's Republic of China	35.580611	104.626278
Salvador	Salvador	Brazil	-12.970833333333	-38.510833333333
Xiangtan	湘潭市	People's Republic of China	27.85	112.9
Daqing	大庆市	People's Republic of China	46.59791	125.00798
Bursa	Bursa	Turkey	40.183333333333	29.066666666667
Buenos Aires	Ciudad Autónoma de Buenos Aires	Argentina	-34.599722222222	-58.381944444444
Nanping	南平市	People's Republic of China	26.64481	118.17282
Pyongyang	평양직할시	North Korea	39.03	125.73
Jingmen City	荆门市	People's Republic of China	31.038055555556	112.21138888889
Omdurman	أم درمان	Sudan	15.683517	32.462887
Zigong	自贡市	People's Republic of China	29.349842	104.764514
Qinhuangdao	秦皇岛市	People's Republic of China	39.93978	119.58812
Mudanjiang	牡丹江市	People's Republic of China	44.58333	129.6
Huludao	葫芦岛市	People's Republic of China	40.709444444444	120.83777777778
Longyan	龙岩市	People's Republic of China	25.10722	117.0225
Toronto	City of Toronto	Canada	43.7	-79.4
Chicago	City of Chicago	United States of America	41.881944444444	-87.627777777778
Rizhao	日照市	People's Republic of China	35.416388888889	119.43305555556
Ōsaka	大阪市	Japan	34.693611111111	135.50194444444
Baotou	包头市	People's Republic of China	40.65621	109.83454
Taipei	臺北	Taiwan	25.047777777778	121.53194444444
Hohhot	呼和浩特市	People's Republic of China	40.81056	111.65222
Sanming	三明市	People's Republic of China	26.2658	117.63017
Chaozhou	潮州市	People's Republic of China	23.65396	116.62262
Longnan	陇南市	People's Republic of China	33.535	105.349
Weihai	威海市	People's Republic of China	37.5	122.1
Xuancheng	宣城市	People's Republic of China	30.94751	118.75178
Pu'er City	普洱市	People's Republic of China	22.78028	100.96981
Huzhou	湖州市	People's Republic of China	30.8703	120.0933
Hulunbuir	呼伦贝尔市	People's Republic of China	49.21534	119.75097
Anshun	安顺市	People's Republic of China	26.24562	105.93401
Lishui	丽水市	People's Republic of China	28.45	119.91666666667
Xianning	咸宁市	People's Republic of China	29.83411	114.32882
Dubai	دبيّ	United Arab Emirates	25.269722222222	55.309444444444
Luohe	漯河市	People's Republic of China	33.58299	114.0109
Qingyang	庆阳市	People's Republic of China	35.73339	107.6342
Binhai New Area	滨海新区	People's Republic of China	39.003333333333	117.71083333333
Lusaka	Lusaka	Zambia	-15.416666666667	28.283333333333
Guatemala City	Ciudad de Guatemala	Guatemala	14.622777777778	-90.531388888889
Baoshan	保山市	People's Republic of China	25.11626	99.16366
Cali	Santiago de Cali	Colombia	3.44	-76.519722222222
Yaounde	Yaoundé	Cameroon	3.8577777777778	11.518055555556
Huangshi	黄石市	People's Republic of China	30.20178	115.03262
Huainan	淮南市	People's Republic of China	32.483056	117.016389
Dandong	丹东市	People's Republic of China	40.12917	124.39472
Shangluo	商洛市	People's Republic of China	33.86805	109.92445
Chongzuo	崇左市	People's Republic of China	22.416666666667	107.36666666667
Lincang	临沧市	People's Republic of China	23.88643	100.0871
Jiamusi	佳木斯市	People's Republic of China	46.80808	130.36531
Yangjiang	阳江市	People's Republic of China	21.86505	111.96778
Fushun	抚顺市	People's Republic of China	41.87085	123.89173
Accra	Ghana	Ghana	5.6037	-0.187
Laibin	来宾市	People's Republic of China	23.733333333333	109.23333333333
Yuxi	玉溪市	People's Republic of China	24.34953	102.54317
Yingkou	营口市	People's Republic of China	40.66525	122.22972
Sanmenxia	三门峡市	People's Republic of China	34.77472	111.18139
Medan	Kota Medan	Indonesia	3.6666666666667	98.666666666667
Ma'anshan	马鞍山市	People's Republic of China	31.713531	118.360472
Suizhou	随州市	People's Republic of China	31.71755	113.3658
Pingliang	平凉市	People's Republic of China	35.53917	106.68611
Quzhou	衢州市	People's Republic of China	28.95445	118.8763
Hezhou	贺州市	People's Republic of China	24.40357	111.56675
Baku	Bakı	Azerbaijan	40.366655555556	49.835183333333
Huaibei	淮北市	People's Republic of China	33.95618	116.78904
Xining	西宁市	People's Republic of China	36.62386	101.77866
Yan'an	延安市	People's Republic of China	36.59523	109.48628
Ulanqab	乌兰察布市	People's Republic of China	40.991944444444	113.12444444444
Mogadishu	مقديشو	Somalia	2.0408333333333	45.3425
Jincheng	晋城市	People's Republic of China	35.50222	112.83278
Rawalpindi	راولپنڈی	Pakistan	33.6007	73.0679
Haikou	海口市	People's Republic of China	20.02	110.32
Perth	Perth	Australia	-31.952222222222	115.85888888889
Barquisimeto	Barquisimeto	Venezuela	10.067777777778	-69.346694444444
Quito	San Francisco de Quito	Ecuador	-0.21861111111111	-78.509722222222
Peshawar	پشاور	Pakistan	34.0	71.5
Sapporo	札幌市	Japan	43.062083333333	141.35438888889
Jixi	鸡西市	People's Republic of China	45.29366	130.96496
Caracas	Santiago de León de Caracas	Venezuela	10.5	-66.933333333333
Fuxin	阜新市	People's Republic of China	42.01556	121.65889
Hargeisa	Hargeysa	Somalia	9.565556	44.060556
Wuwei	武威市	People's Republic of China	37.92781	102.63286
Vienna	Groß-Wien	Austria	48.20833	16.373064
Pingxiang	萍乡市	People's Republic of China	27.633333333333	113.85
Hamburg	Hamburg	Germany	53.55	10.0
Almaty	Алма-Ата	Kazakhstan	43.25	76.9
Aleppo	حلب	Syria	36.2	37.15
Liaoyang	辽阳市	People's Republic of China	41.27194	123.17306
Baiyin	白银市	People's Republic of China	36.54696	104.17023
Dongying	东营市	People's Republic of China	37.45	118.46666666667
Lubumbashi	Lubumbashi	Democratic Republic of the Congo	-11.669722222222	27.458055555556
Manila	City of Manila	Philippines	14.583333333333	121.0
Warsaw	Warszawa	Poland	52.216666666667	21.033333333333
Isfahan	اصفهان	Iran	32.644722222222	51.6675
Damascus	دمشق	Syria	33.513055555556	36.291944444444
Heihe	黑河市	People's Republic of China	50.245833	127.488611
Budapest	Budapest	Hungary	47.498333333333	19.040833333333
Bayannur	巴彦淖尔市	People's Republic of China	40.756666666667	107.41444444444
Montreal	Montréal	Canada	45.508888888889	-73.561666666667
Conakry	Conakry	Guinea	9.5091666666667	-13.712222222222
Tijuana	Tijuana	Mexico	32.530833333333	-117.02
